transaction_id,customer_id,transaction_date,amount,category,gender,age,city,payment_method,true_segment
TXN_012697,CUST_0761,2023-02-26,120.01,Groceries,Male,30,New York,Cash,loyal
TXN_011242,CUST_0667,2023-02-11,,Groceries,Male,37,Phoenix,PayPal,at_risk
TXN_016316,CUST_1000,2023-09-09,274.23,Groceries,Male,61,Chicago,PayPal,champion
TXN_009809,CUST_0590,2023-07-29,109.72,Toys,Male,38,Los Angeles,Debit Card,loyal
TXN_010264,CUST_0612,2023-09-15,228.47,Electronics,Female,56,San Antonio,PayPal,champion
TXN_003120,CUST_0198,2023-11-12,182.51,Health & Beauty,Female,26,San Diego,Debit Card,loyal
TXN_002882,CUST_0188,2023-11-17,307.35,Home & Garden,Female,58,Houston,Debit Card,champion
TXN_009636,CUST_0579,2023-05-01,,Toys,Female,53,Chicago,PayPal,champion
TXN_005270,CUST_0314,2024-01-10,204.89,Health & Beauty,Other,27,Los Angeles,Cash,champion
TXN_012579,CUST_0752,2024-06-23,116.97,Clothing,Female,45,Houston,Debit Card,loyal
TXN_007046,CUST_0437,2024-02-12,307.33,Books,Male,55,Philadelphia,Debit Card,champion
TXN_005220,CUST_0313,2023-08-26,320.46,Toys,Male,34,Houston,Cash,loyal
TXN_008403,CUST_0507,2024-04-30,138.83,Sports,Female,64,Houston,PayPal,loyal
TXN_008829,CUST_0537,2024-04-14,254.57,Health & Beauty,Female,61,Phoenix,PayPal,champion
TXN_013707,CUST_0828,2024-06-04,199.3,Clothing,Male,65,San Diego,Cash,loyal
TXN_004533,CUST_0280,2024-02-06,68.11,Electronics,Female,58,Phoenix,Credit Card,dormant
TXN_015747,CUST_0961,2023-07-16,64.83,Sports,Male,52,New York,Debit Card,loyal
TXN_011499,CUST_0685,2024-04-11,84.97,Clothing,Female,29,Los Angeles,Debit Card,at_risk
TXN_005620,CUST_0339,2023-09-05,150.95,Health & Beauty,Male,43,Houston,Credit Card,loyal
TXN_005964,CUST_0360,2023-12-02,409.74,Clothing,Female,39,New York,PayPal,champion
TXN_014919,CUST_0915,2024-06-29,40.25,Groceries,Female,59,San Antonio,Debit Card,dormant
TXN_010646,CUST_0635,2024-05-30,173.35,Clothing,Male,20,Houston,Cash,loyal
TXN_003634,CUST_0227,2023-05-21,,Electronics,Other,20,New York,Credit Card,champion
TXN_003745,CUST_0232,2023-03-28,53.17,Groceries,Female,30,San Antonio,Credit Card,at_risk
TXN_009927,CUST_0596,2023-11-03,268.93,Groceries,Male,53,New York,PayPal,champion
TXN_003418,CUST_0216,2023-02-13,102.02,Toys,Male,30,Los Angeles,PayPal,loyal
TXN_003643,CUST_0228,2023-04-21,71.82,Groceries,Male,57,Houston,PayPal,loyal
TXN_002095,CUST_0135,2023-08-19,99.53,Clothing,Female,23,Houston,PayPal,at_risk
TXN_013137,CUST_0793,2023-07-27,104.53,Toys,Female,38,San Diego,PayPal,champion
TXN_009187,CUST_0559,2024-05-03,214.57,Health & Beauty,Female,48,New York,Debit Card,champion
TXN_007580,CUST_0459,2023-05-01,125.21,Books,Male,37,San Antonio,Debit Card,loyal
TXN_008949,CUST_0543,2024-05-28,186.76,Toys,Male,54,Chicago,Debit Card,loyal
TXN_008875,CUST_0538,2023-07-13,235.8,Electronics,Male,35,New York,PayPal,loyal
TXN_014106,CUST_0863,2023-07-14,108.11,Groceries,Female,69,Los Angeles,Debit Card,loyal
TXN_011159,CUST_0663,2024-04-10,211.51,Electronics,Female,64,Philadelphia,PayPal,champion
TXN_001889,CUST_0124,2023-04-21,386.81,Home & Garden,Male,63,Phoenix,PayPal,champion
TXN_010564,CUST_0632,2023-07-07,184.13,Sports,Female,48,Houston,Debit Card,champion
TXN_005483,CUST_0329,2023-09-15,109.51,Books,Male,46,Phoenix,Cash,loyal
TXN_009546,CUST_0578,2023-11-19,204.21,Health & Beauty,Female,51,Chicago,Cash,champion
TXN_001493,CUST_0102,2023-08-27,73.14,Electronics,Female,61,Philadelphia,Cash,new
TXN_002448,CUST_0163,2024-04-04,301.13,Home & Garden,Female,40,Philadelphia,Credit Card,champion
TXN_014585,CUST_0898,2022-11-21,39.81,Groceries,Female,24,San Diego,Debit Card,dormant
TXN_012005,CUST_0720,2023-03-05,284.17,Clothing,Female,39,Los Angeles,PayPal,champion
TXN_014003,CUST_0853,2023-03-15,209.3,Electronics,Male,32,San Diego,PayPal,loyal
TXN_012981,CUST_0783,2023-06-01,115.06,Home & Garden,Male,18,Philadelphia,PayPal,loyal
TXN_001358,CUST_0094,2024-04-29,57.09,Groceries,Female,56,Los Angeles,Credit Card,champion
TXN_006127,CUST_0371,2023-09-06,283.2,Health & Beauty,Male,54,Phoenix,PayPal,champion
TXN_012397,CUST_0744,2023-06-09,70.78,Books,Female,36,San Diego,Cash,loyal
TXN_008455,CUST_0508,2023-03-22,258.88,Toys,Female,24,San Diego,Debit Card,champion
TXN_000019,CUST_0001,2024-02-05,131.45,Health & Beauty,Male,64,Chicago,PayPal,loyal
TXN_007517,CUST_0456,2024-02-08,211.99,Home & Garden,Female,33,Los Angeles,Cash,champion
TXN_012559,CUST_0751,2024-01-27,,Toys,Male,43,Phoenix,PayPal,champion
TXN_006335,CUST_0384,2023-04-19,198.26,Sports,Female,41,New York,PayPal,loyal
TXN_002948,CUST_0190,2024-03-29,154.51,Clothing,Male,45,San Antonio,Debit Card,champion
TXN_001208,CUST_0083,2023-02-15,198.38,Groceries,Male,19,Los Angeles,Credit Card,loyal
TXN_009505,CUST_0575,2023-09-21,187.18,Books,Female,53,San Diego,Debit Card,champion
TXN_015725,CUST_0960,2023-02-05,73.19,Electronics,Female,19,San Antonio,Debit Card,new
TXN_013973,CUST_0851,2023-07-19,204.47,Clothing,Male,28,New York,Cash,loyal
TXN_007767,CUST_0475,2024-01-30,99.79,Groceries,Female,43,Philadelphia,Credit Card,at_risk
TXN_000424,CUST_0029,2023-10-20,337.6,Groceries,Female,34,Houston,PayPal,champion
TXN_000254,CUST_0020,2023-08-24,203.38,Clothing,Male,43,Philadelphia,Credit Card,loyal
TXN_015569,CUST_0952,2023-12-10,63.42,Home & Garden,Female,24,Houston,Cash,new
TXN_000123,CUST_0008,2023-03-10,162.23,Electronics,Female,38,Chicago,Cash,loyal
TXN_001010,CUST_0069,2023-07-16,102.31,Clothing,Male,56,Phoenix,Debit Card,loyal
TXN_000196,CUST_0011,2023-08-15,170.52,Electronics,Male,54,Phoenix,Debit Card,champion
TXN_003852,CUST_0236,2024-02-12,214.77,Health & Beauty,Female,41,New York,Debit Card,loyal
TXN_012435,CUST_0747,2024-05-28,354.52,Toys,Male,31,New York,PayPal,champion
TXN_005265,CUST_0314,2023-09-05,155.67,Electronics,Other,27,Los Angeles,PayPal,champion
TXN_001163,CUST_0076,2023-10-14,118.18,Toys,Female,30,San Diego,Cash,loyal
TXN_008552,CUST_0515,2023-03-13,96.35,Books,Male,43,Philadelphia,Cash,at_risk
TXN_014757,CUST_0906,2023-08-07,81.6,Groceries,Female,38,San Antonio,Cash,loyal
TXN_011146,CUST_0662,2023-12-23,45.99,Health & Beauty,Other,45,San Antonio,Debit Card,dormant
TXN_000346,CUST_0025,2023-06-20,185.16,Toys,Male,49,Philadelphia,Cash,at_risk
TXN_012970,CUST_0780,2024-03-28,75.08,Books,Female,36,San Diego,PayPal,at_risk
TXN_006209,CUST_0376,2024-03-06,215.11,Clothing,Male,20,San Antonio,Debit Card,champion
TXN_004870,CUST_0299,2024-06-23,191.69,Home & Garden,Female,47,Houston,Cash,loyal
TXN_010491,CUST_0625,2023-05-03,443.83,Sports,Female,18,San Diego,Credit Card,champion
TXN_004043,CUST_0250,2023-12-24,353.61,Books,Female,44,Philadelphia,Credit Card,champion
TXN_006329,CUST_0383,2024-02-27,95.08,Books,Female,42,San Diego,Debit Card,loyal
TXN_003692,CUST_0230,2024-03-05,89.03,Health & Beauty,Female,57,Philadelphia,PayPal,loyal
TXN_004104,CUST_0252,2024-05-03,199.99,Electronics,Male,24,Los Angeles,Credit Card,champion
TXN_007033,CUST_0434,2022-09-06,95.48,Health & Beauty,Male,63,New York,Credit Card,dormant
TXN_002122,CUST_0139,2023-10-27,352.53,Books,Male,28,Phoenix,PayPal,champion
TXN_006427,CUST_0394,2023-02-28,21.16,Electronics,Female,34,Houston,Cash,dormant
TXN_011878,CUST_0712,2023-03-13,190.83,Books,Female,38,San Antonio,PayPal,loyal
TXN_000322,CUST_0024,2023-03-26,135.28,Home & Garden,Male,64,San Antonio,PayPal,champion
TXN_009102,CUST_0552,2022-03-18,71.08,Clothing,Female,32,Phoenix,Credit Card,dormant
TXN_003547,CUST_0223,2023-02-18,121.6,Electronics,Male,62,Chicago,Debit Card,loyal
TXN_016082,CUST_0987,2024-06-21,162.05,Clothing,Female,53,San Diego,Cash,loyal
TXN_014935,CUST_0916,2024-03-23,154.01,Toys,Male,25,New York,PayPal,loyal
TXN_013444,CUST_0807,2023-03-18,144.95,Health & Beauty,Female,25,Houston,Debit Card,loyal
TXN_005885,CUST_0351,2023-06-02,114.61,Home & Garden,Female,46,Chicago,Cash,at_risk
TXN_004464,CUST_0276,2023-11-18,84.96,Home & Garden,Female,30,Phoenix,Debit Card,at_risk
TXN_000290,CUST_0024,2024-03-12,240.29,Home & Garden,Male,64,San Antonio,Credit Card,champion
TXN_003501,CUST_0222,2024-03-29,293.63,Sports,Female,57,San Antonio,Cash,champion
TXN_007855,CUST_0481,2023-07-24,121.95,Electronics,Female,43,Philadelphia,PayPal,loyal
TXN_008204,CUST_0499,2023-10-08,310.22,Home & Garden,Other,58,Phoenix,PayPal,champion
TXN_014647,CUST_0902,2023-02-11,338.32,Sports,Male,59,San Antonio,PayPal,champion
TXN_007571,CUST_0459,2024-04-03,175.25,Electronics,Male,37,San Antonio,Debit Card,loyal
TXN_011340,CUST_0671,2023-02-13,61.22,Sports,Male,26,Philadelphia,Debit Card,at_risk
TXN_006156,CUST_0371,2023-02-09,253.37,Books,Male,54,Phoenix,Cash,champion
TXN_000657,CUST_0048,2024-06-21,,Home & Garden,Female,69,San Diego,Credit Card,loyal
TXN_011718,CUST_0703,2023-12-17,79.3,Clothing,Male,37,San Diego,Credit Card,loyal
TXN_000102,CUST_0005,2023-11-13,167.28,Groceries,Male,36,Philadelphia,Credit Card,loyal
TXN_014844,CUST_0911,2024-05-28,259.52,Groceries,Female,26,Los Angeles,Debit Card,champion
TXN_008731,CUST_0527,2024-06-19,70.84,Groceries,Male,62,San Antonio,Debit Card,dormant
TXN_006109,CUST_0369,2023-10-12,338.25,Electronics,Male,64,New York,PayPal,champion
TXN_000003,CUST_0001,2023-11-05,116.0,Electronics,Male,64,Chicago,Debit Card,loyal
TXN_007255,CUST_0444,2024-01-20,234.64,Electronics,Male,58,Chicago,Credit Card,champion
TXN_008918,CUST_0541,2023-06-16,155.1,Electronics,Female,36,San Antonio,Debit Card,at_risk
TXN_016038,CUST_0985,2023-05-04,162.26,Books,Female,54,San Diego,Debit Card,loyal
TXN_011068,CUST_0657,2023-02-09,310.56,Toys,Male,29,San Antonio,Debit Card,champion
TXN_011102,CUST_0660,2023-10-08,219.81,Toys,Female,66,Chicago,PayPal,loyal
TXN_001710,CUST_0115,2023-05-05,131.23,Sports,Female,31,Phoenix,PayPal,champion
TXN_003460,CUST_0220,2023-05-28,274.86,Health & Beauty,Female,34,San Antonio,PayPal,champion
TXN_009019,CUST_0546,2023-10-14,146.95,Groceries,Male,20,Philadelphia,Debit Card,champion
TXN_008077,CUST_0494,2023-04-24,145.37,Electronics,Male,23,San Antonio,Debit Card,champion
TXN_003383,CUST_0211,2023-05-05,76.97,Electronics,Female,43,Los Angeles,Credit Card,at_risk
TXN_008457,CUST_0508,2023-08-24,307.73,Groceries,Female,24,San Diego,Credit Card,champion
TXN_014184,CUST_0869,2023-07-03,18.6,Groceries,Female,52,New York,Debit Card,dormant
TXN_001261,CUST_0087,2024-04-17,316.37,Sports,Female,47,New York,PayPal,champion
TXN_000566,CUST_0042,2022-05-02,40.69,Health & Beauty,Female,67,Philadelphia,Credit Card,dormant
TXN_001119,CUST_0075,2023-10-02,159.34,Clothing,Female,42,San Antonio,Cash,champion
TXN_012817,CUST_0772,2024-03-14,100.75,Groceries,Female,55,New York,Credit Card,loyal
TXN_009403,CUST_0571,2023-03-02,384.9,Books,Female,49,Chicago,Debit Card,champion
TXN_005743,CUST_0343,2023-04-19,238.47,Health & Beauty,Male,46,Los Angeles,Debit Card,loyal
TXN_007696,CUST_0471,2024-05-05,101.37,Clothing,Male,47,New York,PayPal,loyal
TXN_010330,CUST_0617,2023-10-05,43.33,Sports,Male,23,San Diego,Credit Card,loyal
TXN_007506,CUST_0456,2023-07-07,58.82,Clothing,Female,33,Los Angeles,Credit Card,champion
TXN_003509,CUST_0222,2023-02-13,250.7,Home & Garden,Female,57,San Antonio,PayPal,champion
TXN_015952,CUST_0980,2023-03-26,431.81,Home & Garden,Female,56,San Diego,PayPal,champion
TXN_013674,CUST_0825,2024-04-04,183.82,Electronics,Female,29,Houston,Credit Card,champion
TXN_004614,CUST_0286,2023-11-20,279.14,Sports,Male,62,Phoenix,PayPal,champion
TXN_003280,CUST_0205,2024-04-14,82.44,Home & Garden,Female,41,Chicago,Debit Card,at_risk
TXN_014988,CUST_0917,2024-06-17,,Health & Beauty,Male,41,San Diego,PayPal,champion
TXN_007215,CUST_0442,2023-12-03,317.08,Sports,Other,50,Houston,Credit Card,champion
TXN_008093,CUST_0495,2024-04-03,55.13,Home & Garden,Male,26,Los Angeles,PayPal,dormant
TXN_000409,CUST_0029,2023-11-13,304.16,Sports,Female,34,Houston,Credit Card,champion
TXN_002699,CUST_0178,2024-05-22,177.87,Sports,Male,55,Houston,Cash,loyal
TXN_012856,CUST_0775,2023-12-13,136.98,Books,Female,51,San Diego,Debit Card,loyal
TXN_008818,CUST_0537,2023-07-26,210.93,Sports,Female,61,Phoenix,Debit Card,champion
TXN_008739,CUST_0530,2022-08-01,24.18,Home & Garden,Female,63,San Antonio,Debit Card,dormant
TXN_013869,CUST_0838,2023-04-18,208.67,Groceries,Male,63,Phoenix,Credit Card,champion
TXN_013874,CUST_0838,2023-11-10,326.35,Toys,Male,63,Phoenix,Debit Card,champion
TXN_013601,CUST_0822,2023-12-12,75.09,Clothing,Male,46,San Diego,Debit Card,loyal
TXN_011342,CUST_0672,2023-01-09,90.05,Electronics,Female,54,Phoenix,Debit Card,loyal
TXN_001090,CUST_0074,2024-01-12,221.07,Clothing,Female,39,San Diego,Credit Card,loyal
TXN_011184,CUST_0663,2024-02-29,192.26,Clothing,Female,64,Philadelphia,PayPal,champion
TXN_004097,CUST_0252,2024-05-07,430.3,Electronics,Male,24,Los Angeles,Credit Card,champion
TXN_000601,CUST_0044,2024-04-04,104.7,Groceries,Female,46,San Antonio,PayPal,loyal
TXN_001411,CUST_0096,2023-11-05,179.67,Electronics,Female,69,New York,Debit Card,champion
TXN_011043,CUST_0656,2023-12-13,57.3,Books,Male,54,Chicago,PayPal,at_risk
TXN_011809,CUST_0710,2024-02-12,247.93,Health & Beauty,Female,25,Houston,Debit Card,champion
TXN_001035,CUST_0072,2022-10-28,88.22,Groceries,Male,21,Philadelphia,Cash,at_risk
TXN_008762,CUST_0533,2023-03-28,212.04,Sports,Other,25,Phoenix,Credit Card,loyal
TXN_009255,CUST_0564,2023-09-20,99.15,Books,Male,45,Houston,Debit Card,loyal
TXN_005561,CUST_0333,2023-05-20,107.21,Toys,Male,64,New York,Credit Card,at_risk
TXN_014300,CUST_0879,2023-04-17,264.66,Groceries,Male,21,Philadelphia,Debit Card,champion
TXN_002246,CUST_0143,2024-01-23,161.13,Books,Female,24,Los Angeles,PayPal,champion
TXN_007523,CUST_0456,2023-07-13,142.82,Toys,Female,33,Los Angeles,Debit Card,champion
TXN_009818,CUST_0591,2024-05-26,86.36,Health & Beauty,Male,32,Philadelphia,Cash,dormant
TXN_005613,CUST_0338,2024-04-23,138.86,Books,Female,40,Los Angeles,PayPal,loyal
TXN_008215,CUST_0499,2023-12-31,169.49,Health & Beauty,Other,58,Phoenix,PayPal,champion
TXN_005910,CUST_0356,2023-05-20,182.29,Home & Garden,Female,19,Philadelphia,PayPal,at_risk
TXN_007914,CUST_0487,2024-03-05,365.95,Sports,Male,61,San Diego,Cash,champion
TXN_011904,CUST_0714,2023-11-29,261.25,Electronics,Male,25,Los Angeles,Credit Card,loyal
TXN_001496,CUST_0103,2023-03-03,78.43,Groceries,Male,64,San Antonio,Cash,dormant
TXN_005908,CUST_0355,2023-09-24,56.71,Groceries,Male,49,Chicago,PayPal,dormant
TXN_002826,CUST_0187,2023-03-04,283.52,Sports,Female,28,San Diego,PayPal,champion
TXN_006948,CUST_0426,2023-11-18,131.95,Electronics,Female,28,Chicago,Credit Card,champion
TXN_003063,CUST_0194,2023-11-16,91.52,Health & Beauty,Female,42,Phoenix,PayPal,at_risk
TXN_009318,CUST_0569,2024-04-02,225.56,Toys,Female,66,Los Angeles,PayPal,loyal
TXN_005168,CUST_0311,2023-12-29,213.37,Clothing,Male,29,Los Angeles,Debit Card,champion
TXN_012541,CUST_0751,2023-03-16,138.68,Groceries,Male,43,Phoenix,Debit Card,champion
TXN_006573,CUST_0403,2023-07-16,385.58,Groceries,Female,20,Phoenix,Cash,champion
TXN_002214,CUST_0142,2024-06-30,209.0,Home & Garden,Male,42,Chicago,Debit Card,champion
TXN_001624,CUST_0112,2023-08-30,208.87,Books,Male,66,San Antonio,PayPal,champion
TXN_004139,CUST_0253,2024-03-08,447.12,Toys,Female,22,San Antonio,Credit Card,champion
TXN_005484,CUST_0329,2024-01-22,91.78,Home & Garden,Male,46,Phoenix,Debit Card,loyal
TXN_010080,CUST_0601,2023-11-10,277.14,Books,Male,61,Chicago,Cash,champion
TXN_005081,CUST_0309,2024-01-09,150.17,Sports,Female,44,San Antonio,Debit Card,loyal
TXN_013447,CUST_0807,2023-05-08,126.0,Books,Female,25,Houston,PayPal,loyal
TXN_000088,CUST_0005,2024-03-04,130.18,Sports,Male,36,Philadelphia,Debit Card,loyal
TXN_012654,CUST_0758,2023-11-30,48.28,Sports,Female,58,San Antonio,Debit Card,at_risk
TXN_009037,CUST_0546,2024-06-16,111.61,Health & Beauty,Male,20,Philadelphia,Debit Card,champion
TXN_013425,CUST_0804,2023-09-30,423.39,Toys,Female,43,Houston,PayPal,champion
TXN_003733,CUST_0231,2023-09-17,315.38,Toys,Female,44,Chicago,Debit Card,champion
TXN_005064,CUST_0309,2023-03-11,236.45,Books,Female,44,San Antonio,Credit Card,loyal
TXN_002919,CUST_0189,2023-05-20,1.0,Electronics,Female,20,Phoenix,PayPal,loyal
TXN_004791,CUST_0294,2023-08-21,244.82,Books,Male,58,Phoenix,PayPal,champion
TXN_003755,CUST_0234,2023-04-22,317.82,Toys,Female,50,San Diego,PayPal,champion
TXN_014806,CUST_0910,2023-12-31,83.54,Books,Male,43,Chicago,PayPal,at_risk
TXN_015321,CUST_0940,2024-06-19,131.7,Home & Garden,Female,52,San Diego,PayPal,loyal
TXN_013241,CUST_0797,2022-12-04,83.01,Groceries,Female,50,Los Angeles,Credit Card,at_risk
TXN_012632,CUST_0756,2023-01-15,32.39,Groceries,Female,26,Philadelphia,PayPal,at_risk
TXN_008132,CUST_0497,2023-06-29,115.07,Toys,Female,48,Phoenix,Debit Card,champion
TXN_005186,CUST_0311,2024-05-01,248.84,Health & Beauty,Male,29,Los Angeles,PayPal,champion
TXN_003441,CUST_0217,2022-12-08,45.99,Clothing,Male,45,Phoenix,Credit Card,dormant
TXN_012128,CUST_0725,2024-04-13,286.48,Clothing,Female,60,New York,Cash,champion
TXN_004010,CUST_0248,2023-10-24,236.26,Toys,Other,59,Houston,Debit Card,champion
TXN_000977,CUST_0067,2023-09-21,281.22,Groceries,Male,40,New York,PayPal,loyal
TXN_010107,CUST_0602,2023-09-30,,Toys,Male,31,San Diego,Cash,loyal
TXN_009213,CUST_0559,2024-03-16,310.13,Clothing,Female,48,New York,Credit Card,champion
TXN_003069,CUST_0194,2023-05-28,195.68,Books,Female,42,Phoenix,Cash,at_risk
TXN_006302,CUST_0382,2023-02-14,70.28,Sports,Female,66,Chicago,Cash,loyal
TXN_016061,CUST_0986,2024-01-18,15.59,Electronics,Female,50,Philadelphia,PayPal,dormant
TXN_016246,CUST_0995,2023-05-19,52.09,Toys,Male,21,San Antonio,Cash,new
TXN_001984,CUST_0131,2024-05-13,354.46,Clothing,Male,29,Philadelphia,Cash,champion
TXN_010857,CUST_0648,2024-03-14,106.01,Health & Beauty,Female,60,Houston,Credit Card,loyal
TXN_009716,CUST_0585,2023-09-15,422.21,Health & Beauty,Female,29,Houston,Credit Card,champion
TXN_000149,CUST_0010,2022-06-24,60.09,Health & Beauty,Female,40,Houston,Cash,dormant
TXN_007839,CUST_0480,2022-05-17,96.05,Sports,Female,56,Chicago,Debit Card,dormant
TXN_010399,CUST_0620,2024-05-31,105.01,Home & Garden,Female,45,Los Angeles,Debit Card,loyal
TXN_011977,CUST_0719,2022-08-05,97.64,Home & Garden,Male,64,Phoenix,Cash,dormant
TXN_007199,CUST_0442,2024-01-21,248.44,Electronics,Other,50,Houston,Cash,champion
TXN_008361,CUST_0504,2023-05-15,57.08,Toys,Female,67,Philadelphia,PayPal,champion
TXN_015660,CUST_0958,2023-12-06,70.88,Home & Garden,Male,30,San Antonio,Debit Card,loyal
TXN_001199,CUST_0083,2024-05-17,94.93,Electronics,Male,19,Los Angeles,PayPal,loyal
TXN_007632,CUST_0464,2024-04-26,60.14,Books,Female,67,New York,Cash,new
TXN_013219,CUST_0795,2023-07-09,240.3,Books,Male,46,Philadelphia,Debit Card,champion
TXN_015733,CUST_0961,2024-03-07,86.73,Health & Beauty,Male,52,New York,Credit Card,loyal
TXN_012308,CUST_0738,2024-01-01,151.57,Groceries,Female,25,Chicago,PayPal,loyal
TXN_007874,CUST_0485,2023-08-20,73.5,Clothing,Female,51,Chicago,Cash,at_risk
TXN_012011,CUST_0720,2024-02-21,339.17,Home & Garden,Female,39,Los Angeles,PayPal,champion
TXN_012494,CUST_0750,2023-10-15,200.22,Sports,Female,58,San Diego,Cash,champion
TXN_001247,CUST_0087,2024-05-15,272.94,Toys,Female,47,New York,PayPal,champion
TXN_011813,CUST_0710,2023-09-03,428.25,Electronics,Female,25,Houston,Credit Card,champion
TXN_001684,CUST_0115,2023-02-12,313.28,Groceries,Female,31,Phoenix,Credit Card,champion
TXN_009201,CUST_0559,2023-08-13,370.83,Groceries,Female,48,New York,Debit Card,champion
TXN_003425,CUST_0216,2024-05-26,75.05,Toys,Male,30,Los Angeles,Debit Card,loyal
TXN_014431,CUST_0887,2024-04-06,126.26,Books,Female,27,New York,Credit Card,champion
TXN_015624,CUST_0954,2023-10-17,304.09,Clothing,Female,28,Los Angeles,Cash,champion
TXN_014186,CUST_0869,2024-04-09,19.06,Toys,Female,52,New York,Credit Card,dormant
TXN_008387,CUST_0505,2024-06-01,95.57,Home & Garden,Female,45,San Antonio,Debit Card,loyal
TXN_002002,CUST_0131,2023-01-24,279.95,Health & Beauty,Male,29,Philadelphia,Credit Card,champion
TXN_009336,CUST_0570,2023-08-04,182.23,Electronics,Male,68,Los Angeles,PayPal,champion
TXN_003014,CUST_0191,2023-04-07,260.48,Books,Male,46,Philadelphia,Credit Card,champion
TXN_014530,CUST_0891,2023-04-25,58.02,Sports,Female,24,Los Angeles,Cash,loyal
TXN_010543,CUST_0632,2023-09-02,134.13,Sports,Female,48,Houston,Debit Card,champion
